               column_name               |   table_name   |                field_id                 |                                             description                                              | coding | inst | arr |          type          
 c25451_2_0                              | ukb_pheno_1_00 | 25451                                   | Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left)                                     |        |    2 |   0 | Continuous
 c25452_2_0                              | ukb_pheno_1_00 | 25452                                   | Mean ISOVF in superior cerebellar peduncle on FA skeleton (right)                                    |        |    2 |   0 | Continuous
 c6312_2_1                               | ukb_pheno_2_00 | 6312                                    | Value entered                                                                                        |   6312 |    2 |   1 | Categorical (single)
 c25453_2_0                              | ukb_pheno_1_00 | 25453                                   | Mean ISOVF in superior cerebellar peduncle on FA skeleton (left)                                     |        |    2 |   0 | Continuous
 c25454_2_0                              | ukb_pheno_1_00 | 25454                                   | Mean ISOVF in cerebral peduncle on FA skeleton (right)                                               |        |    2 |   0 | Continuous
 c25455_2_0                              | ukb_pheno_1_00 | 25455                                   | Mean ISOVF in cerebral peduncle on FA skeleton (left)                                                |        |    2 |   0 | Continuous
 c25456_2_0                              | ukb_pheno_1_00 | 25456                                   | Mean ISOVF in anterior limb of internal capsule on FA skeleton (right)                               |        |    2 |   0 | Continuous
 c25457_2_0                              | ukb_pheno_1_00 | 25457                                   | Mean ISOVF in anterior limb of internal capsule on FA skeleton (left)                                |        |    2 |   0 | Continuous
 c25458_2_0                              | ukb_pheno_1_00 | 25458                                   | Mean ISOVF in posterior limb of internal capsule on FA skeleton (right)                              |        |    2 |   0 | Continuous
 c25459_2_0                              | ukb_pheno_1_00 | 25459                                   | Mean ISOVF in posterior limb of internal capsule on FA skeleton (left)                               |        |    2 |   0 | Continuous
 c25460_2_0                              | ukb_pheno_1_00 | 25460                                   | Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right)                        |        |    2 |   0 | Continuous
 c25461_2_0                              | ukb_pheno_1_00 | 25461                                   | Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left)                         |        |    2 |   0 | Continuous
 c25462_2_0                              | ukb_pheno_1_00 | 25462                                   | Mean ISOVF in anterior corona radiata on FA skeleton (right)                                         |        |    2 |   0 | Continuous
 c25463_2_0                              | ukb_pheno_1_00 | 25463                                   | Mean ISOVF in anterior corona radiata on FA skeleton (left)                                          |        |    2 |   0 | Continuous
 c25464_2_0                              | ukb_pheno_1_00 | 25464                                   | Mean ISOVF in superior corona radiata on FA skeleton (right)                                         |        |    2 |   0 | Continuous
 c25465_2_0                              | ukb_pheno_1_00 | 25465                                   | Mean ISOVF in superior corona radiata on FA skeleton (left)                                          |        |    2 |   0 | Continuous
 c25466_2_0                              | ukb_pheno_1_00 | 25466                                   | Mean ISOVF in posterior corona radiata on FA skeleton (right)                                        |        |    2 |   0 | Continuous
 c25467_2_0                              | ukb_pheno_1_00 | 25467                                   | Mean ISOVF in posterior corona radiata on FA skeleton (left)                                         |        |    2 |   0 | Continuous
 c25468_2_0                              | ukb_pheno_1_00 | 25468                                   | Mean ISOVF in posterior thalamic radiation on FA skeleton (right)                                    |        |    2 |   0 | Continuous
 c25469_2_0                              | ukb_pheno_1_00 | 25469                                   | Mean ISOVF in posterior thalamic radiation on FA skeleton (left)                                     |        |    2 |   0 | Continuous
 c25470_2_0                              | ukb_pheno_1_00 | 25470                                   | Mean ISOVF in sagittal stratum on FA skeleton (right)                                                |        |    2 |   0 | Continuous
 c25471_2_0                              | ukb_pheno_1_00 | 25471                                   | Mean ISOVF in sagittal stratum on FA skeleton (left)                                                 |        |    2 |   0 | Continuous
 c25472_2_0                              | ukb_pheno_1_00 | 25472                                   | Mean ISOVF in external capsule on FA skeleton (right)                                                |        |    2 |   0 | Continuous
 c25473_2_0                              | ukb_pheno_1_00 | 25473                                   | Mean ISOVF in external capsule on FA skeleton (left)                                                 |        |    2 |   0 | Continuous
 c25474_2_0                              | ukb_pheno_1_00 | 25474                                   | Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right)                                        |        |    2 |   0 | Continuous
 c25475_2_0                              | ukb_pheno_1_00 | 25475                                   | Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left)                                         |        |    2 |   0 | Continuous
 c25476_2_0                              | ukb_pheno_1_00 | 25476                                   | Mean ISOVF in cingulum hippocampus on FA skeleton (right)                                            |        |    2 |   0 | Continuous
 c25477_2_0                              | ukb_pheno_1_00 | 25477                                   | Mean ISOVF in cingulum hippocampus on FA skeleton (left)                                             |        |    2 |   0 | Continuous
 c25478_2_0                              | ukb_pheno_1_00 | 25478                                   | Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right)                                    |        |    2 |   0 | Continuous
 c25479_2_0                              | ukb_pheno_1_00 | 25479                                   | Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left)                                     |        |    2 |   0 | Continuous
 c25480_2_0                              | ukb_pheno_1_00 | 25480                                   | Mean ISOVF in superior longitudinal fasciculus on FA skeleton (right)                                |        |    2 |   0 | Continuous
 c25481_2_0                              | ukb_pheno_1_00 | 25481                                   | Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left)                                 |        |    2 |   0 | Continuous
 c25482_2_0                              | ukb_pheno_1_00 | 25482                                   | Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right)                            |        |    2 |   0 | Continuous
 c25483_2_0                              | ukb_pheno_1_00 | 25483                                   | Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (left)                             |        |    2 |   0 | Continuous
 c25484_2_0                              | ukb_pheno_1_00 | 25484                                   | Mean ISOVF in uncinate fasciculus on FA skeleton (right)                                             |        |    2 |   0 | Continuous
 c25485_2_0                              | ukb_pheno_1_00 | 25485                                   | Mean ISOVF in uncinate fasciculus on FA skeleton (left)                                              |        |    2 |   0 | Continuous
 c25486_2_0                              | ukb_pheno_1_00 | 25486                                   | Mean ISOVF in tapetum on FA skeleton (right)                                                         |        |    2 |   0 | Continuous
 c25487_2_0                              | ukb_pheno_1_00 | 25487                                   | Mean ISOVF in tapetum on FA skeleton (left)                                                          |        |    2 |   0 | Continuous
 c25488_2_0                              | ukb_pheno_1_00 | 25488                                   | Weighted-mean FA in tract acoustic radiation (left)                                                  |        |    2 |   0 | Continuous
 c25489_2_0                              | ukb_pheno_1_00 | 25489                                   | Weighted-mean FA in tract acoustic radiation (right)                                                 |        |    2 |   0 | Continuous
 c25490_2_0                              | ukb_pheno_1_00 | 25490                                   | Weighted-mean FA in tract anterior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25491_2_0                              | ukb_pheno_1_00 | 25491                                   | Weighted-mean FA in tract anterior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25492_2_0                              | ukb_pheno_1_00 | 25492                                   | Weighted-mean FA in tract cingulate gyrus part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25493_2_0                              | ukb_pheno_1_00 | 25493                                   | Weighted-mean FA in tract cingulate gyrus part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25494_2_0                              | ukb_pheno_1_00 | 25494                                   | Weighted-mean FA in tract parahippocampal part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25495_2_0                              | ukb_pheno_1_00 | 25495                                   | Weighted-mean FA in tract parahippocampal part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25496_2_0                              | ukb_pheno_1_00 | 25496                                   | Weighted-mean FA in tract corticospinal tract (left)                                                 |        |    2 |   0 | Continuous
 c25497_2_0                              | ukb_pheno_1_00 | 25497                                   | Weighted-mean FA in tract corticospinal tract (right)                                                |        |    2 |   0 | Continuous
 c25498_2_0                              | ukb_pheno_1_00 | 25498                                   | Weighted-mean FA in tract forceps major                                                              |        |    2 |   0 | Continuous
 c25499_2_0                              | ukb_pheno_1_00 | 25499                                   | Weighted-mean FA in tract forceps minor                                                              |        |    2 |   0 | Continuous
 c25500_2_0                              | ukb_pheno_1_00 | 25500                                   | Weighted-mean FA in tract inferior fronto-occipital fasciculus (left)                                |        |    2 |   0 | Continuous
 c25501_2_0                              | ukb_pheno_1_00 | 25501                                   | Weighted-mean FA in tract inferior fronto-occipital fasciculus (right)                               |        |    2 |   0 | Continuous
 c25502_2_0                              | ukb_pheno_1_00 | 25502                                   | Weighted-mean FA in tract inferior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25503_2_0                              | ukb_pheno_1_00 | 25503                                   | Weighted-mean FA in tract inferior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25504_2_0                              | ukb_pheno_1_00 | 25504                                   | Weighted-mean FA in tract middle cerebellar peduncle                                                 |        |    2 |   0 | Continuous
 c25505_2_0                              | ukb_pheno_1_00 | 25505                                   | Weighted-mean FA in tract medial lemniscus (left)                                                    |        |    2 |   0 | Continuous
 c25506_2_0                              | ukb_pheno_1_00 | 25506                                   | Weighted-mean FA in tract medial lemniscus (right)                                                   |        |    2 |   0 | Continuous
 c25507_2_0                              | ukb_pheno_1_00 | 25507                                   | Weighted-mean FA in tract posterior thalamic radiation (left)                                        |        |    2 |   0 | Continuous
 c25508_2_0                              | ukb_pheno_1_00 | 25508                                   | Weighted-mean FA in tract posterior thalamic radiation (right)                                       |        |    2 |   0 | Continuous
 c25509_2_0                              | ukb_pheno_1_00 | 25509                                   | Weighted-mean FA in tract superior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25510_2_0                              | ukb_pheno_1_00 | 25510                                   | Weighted-mean FA in tract superior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25511_2_0                              | ukb_pheno_1_00 | 25511                                   | Weighted-mean FA in tract superior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25512_2_0                              | ukb_pheno_1_00 | 25512                                   | Weighted-mean FA in tract superior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25513_2_0                              | ukb_pheno_1_00 | 25513                                   | Weighted-mean FA in tract uncinate fasciculus (left)                                                 |        |    2 |   0 | Continuous
 c25514_2_0                              | ukb_pheno_1_00 | 25514                                   | Weighted-mean FA in tract uncinate fasciculus (right)                                                |        |    2 |   0 | Continuous
 c25515_2_0                              | ukb_pheno_1_00 | 25515                                   | Weighted-mean MD in tract acoustic radiation (left)                                                  |        |    2 |   0 | Continuous
 c25516_2_0                              | ukb_pheno_1_00 | 25516                                   | Weighted-mean MD in tract acoustic radiation (right)                                                 |        |    2 |   0 | Continuous
 c25517_2_0                              | ukb_pheno_1_00 | 25517                                   | Weighted-mean MD in tract anterior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25518_2_0                              | ukb_pheno_1_00 | 25518                                   | Weighted-mean MD in tract anterior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25519_2_0                              | ukb_pheno_1_00 | 25519                                   | Weighted-mean MD in tract cingulate gyrus part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25520_2_0                              | ukb_pheno_1_00 | 25520                                   | Weighted-mean MD in tract cingulate gyrus part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25521_2_0                              | ukb_pheno_1_00 | 25521                                   | Weighted-mean MD in tract parahippocampal part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25522_2_0                              | ukb_pheno_1_00 | 25522                                   | Weighted-mean MD in tract parahippocampal part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25523_2_0                              | ukb_pheno_1_00 | 25523                                   | Weighted-mean MD in tract corticospinal tract (left)                                                 |        |    2 |   0 | Continuous
 c25524_2_0                              | ukb_pheno_1_00 | 25524                                   | Weighted-mean MD in tract corticospinal tract (right)                                                |        |    2 |   0 | Continuous
 c25525_2_0                              | ukb_pheno_1_00 | 25525                                   | Weighted-mean MD in tract forceps major                                                              |        |    2 |   0 | Continuous
 c25526_2_0                              | ukb_pheno_1_00 | 25526                                   | Weighted-mean MD in tract forceps minor                                                              |        |    2 |   0 | Continuous
 c25527_2_0                              | ukb_pheno_1_00 | 25527                                   | Weighted-mean MD in tract inferior fronto-occipital fasciculus (left)                                |        |    2 |   0 | Continuous
 c25528_2_0                              | ukb_pheno_1_00 | 25528                                   | Weighted-mean MD in tract inferior fronto-occipital fasciculus (right)                               |        |    2 |   0 | Continuous
 c25529_2_0                              | ukb_pheno_1_00 | 25529                                   | Weighted-mean MD in tract inferior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25530_2_0                              | ukb_pheno_1_00 | 25530                                   | Weighted-mean MD in tract inferior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25531_2_0                              | ukb_pheno_1_00 | 25531                                   | Weighted-mean MD in tract middle cerebellar peduncle                                                 |        |    2 |   0 | Continuous
 c25532_2_0                              | ukb_pheno_1_00 | 25532                                   | Weighted-mean MD in tract medial lemniscus (left)                                                    |        |    2 |   0 | Continuous
 c25533_2_0                              | ukb_pheno_1_00 | 25533                                   | Weighted-mean MD in tract medial lemniscus (right)                                                   |        |    2 |   0 | Continuous
 c25534_2_0                              | ukb_pheno_1_00 | 25534                                   | Weighted-mean MD in tract posterior thalamic radiation (left)                                        |        |    2 |   0 | Continuous
 c25535_2_0                              | ukb_pheno_1_00 | 25535                                   | Weighted-mean MD in tract posterior thalamic radiation (right)                                       |        |    2 |   0 | Continuous
 c25536_2_0                              | ukb_pheno_1_00 | 25536                                   | Weighted-mean MD in tract superior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25537_2_0                              | ukb_pheno_1_00 | 25537                                   | Weighted-mean MD in tract superior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25538_2_0                              | ukb_pheno_1_00 | 25538                                   | Weighted-mean MD in tract superior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25539_2_0                              | ukb_pheno_1_00 | 25539                                   | Weighted-mean MD in tract superior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25540_2_0                              | ukb_pheno_1_00 | 25540                                   | Weighted-mean MD in tract uncinate fasciculus (left)                                                 |        |    2 |   0 | Continuous
 c25541_2_0                              | ukb_pheno_1_00 | 25541                                   | Weighted-mean MD in tract uncinate fasciculus (right)                                                |        |    2 |   0 | Continuous
 c25542_2_0                              | ukb_pheno_1_00 | 25542                                   | Weighted-mean MO in tract acoustic radiation (left)                                                  |        |    2 |   0 | Continuous
 c25543_2_0                              | ukb_pheno_1_00 | 25543                                   | Weighted-mean MO in tract acoustic radiation (right)                                                 |        |    2 |   0 | Continuous
 c25544_2_0                              | ukb_pheno_1_00 | 25544                                   | Weighted-mean MO in tract anterior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25545_2_0                              | ukb_pheno_1_00 | 25545                                   | Weighted-mean MO in tract anterior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25546_2_0                              | ukb_pheno_1_00 | 25546                                   | Weighted-mean MO in tract cingulate gyrus part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25547_2_0                              | ukb_pheno_1_00 | 25547                                   | Weighted-mean MO in tract cingulate gyrus part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25548_2_0                              | ukb_pheno_1_00 | 25548                                   | Weighted-mean MO in tract parahippocampal part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25549_2_0                              | ukb_pheno_1_00 | 25549                                   | Weighted-mean MO in tract parahippocampal part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25550_2_0                              | ukb_pheno_1_00 | 25550                                   | Weighted-mean MO in tract corticospinal tract (left)                                                 |        |    2 |   0 | Continuous
 c25551_2_0                              | ukb_pheno_1_00 | 25551                                   | Weighted-mean MO in tract corticospinal tract (right)                                                |        |    2 |   0 | Continuous
 c25552_2_0                              | ukb_pheno_1_00 | 25552                                   | Weighted-mean MO in tract forceps major                                                              |        |    2 |   0 | Continuous
 c25553_2_0                              | ukb_pheno_1_00 | 25553                                   | Weighted-mean MO in tract forceps minor                                                              |        |    2 |   0 | Continuous
 c25554_2_0                              | ukb_pheno_1_00 | 25554                                   | Weighted-mean MO in tract inferior fronto-occipital fasciculus (left)                                |        |    2 |   0 | Continuous
 c25555_2_0                              | ukb_pheno_1_00 | 25555                                   | Weighted-mean MO in tract inferior fronto-occipital fasciculus (right)                               |        |    2 |   0 | Continuous
 c25556_2_0                              | ukb_pheno_1_00 | 25556                                   | Weighted-mean MO in tract inferior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c6312_2_2                               | ukb_pheno_2_00 | 6312                                    | Value entered                                                                                        |   6312 |    2 |   2 | Categorical (single)
 c25557_2_0                              | ukb_pheno_1_00 | 25557                                   | Weighted-mean MO in tract inferior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25558_2_0                              | ukb_pheno_1_00 | 25558                                   | Weighted-mean MO in tract middle cerebellar peduncle                                                 |        |    2 |   0 | Continuous
 c25559_2_0                              | ukb_pheno_1_00 | 25559                                   | Weighted-mean MO in tract medial lemniscus (left)                                                    |        |    2 |   0 | Continuous
 c25560_2_0                              | ukb_pheno_1_00 | 25560                                   | Weighted-mean MO in tract medial lemniscus (right)                                                   |        |    2 |   0 | Continuous
 c25561_2_0                              | ukb_pheno_1_00 | 25561                                   | Weighted-mean MO in tract posterior thalamic radiation (left)                                        |        |    2 |   0 | Continuous
 c25562_2_0                              | ukb_pheno_1_00 | 25562                                   | Weighted-mean MO in tract posterior thalamic radiation (right)                                       |        |    2 |   0 | Continuous
 c25563_2_0                              | ukb_pheno_1_00 | 25563                                   | Weighted-mean MO in tract superior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25564_2_0                              | ukb_pheno_1_00 | 25564                                   | Weighted-mean MO in tract superior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25565_2_0                              | ukb_pheno_1_00 | 25565                                   | Weighted-mean MO in tract superior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25566_2_0                              | ukb_pheno_1_00 | 25566                                   | Weighted-mean MO in tract superior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25567_2_0                              | ukb_pheno_1_00 | 25567                                   | Weighted-mean MO in tract uncinate fasciculus (left)                                                 |        |    2 |   0 | Continuous
 c25568_2_0                              | ukb_pheno_1_00 | 25568                                   | Weighted-mean MO in tract uncinate fasciculus (right)                                                |        |    2 |   0 | Continuous
 c25569_2_0                              | ukb_pheno_1_00 | 25569                                   | Weighted-mean L1 in tract acoustic radiation (left)                                                  |        |    2 |   0 | Continuous
 c25570_2_0                              | ukb_pheno_1_00 | 25570                                   | Weighted-mean L1 in tract acoustic radiation (right)                                                 |        |    2 |   0 | Continuous
 c25571_2_0                              | ukb_pheno_1_00 | 25571                                   | Weighted-mean L1 in tract anterior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25572_2_0                              | ukb_pheno_1_00 | 25572                                   | Weighted-mean L1 in tract anterior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25573_2_0                              | ukb_pheno_1_00 | 25573                                   | Weighted-mean L1 in tract cingulate gyrus part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25574_2_0                              | ukb_pheno_1_00 | 25574                                   | Weighted-mean L1 in tract cingulate gyrus part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25575_2_0                              | ukb_pheno_1_00 | 25575                                   | Weighted-mean L1 in tract parahippocampal part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25576_2_0                              | ukb_pheno_1_00 | 25576                                   | Weighted-mean L1 in tract parahippocampal part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25577_2_0                              | ukb_pheno_1_00 | 25577                                   | Weighted-mean L1 in tract corticospinal tract (left)                                                 |        |    2 |   0 | Continuous
 c25578_2_0                              | ukb_pheno_1_00 | 25578                                   | Weighted-mean L1 in tract corticospinal tract (right)                                                |        |    2 |   0 | Continuous
 c25579_2_0                              | ukb_pheno_1_00 | 25579                                   | Weighted-mean L1 in tract forceps major                                                              |        |    2 |   0 | Continuous
 c25580_2_0                              | ukb_pheno_1_00 | 25580                                   | Weighted-mean L1 in tract forceps minor                                                              |        |    2 |   0 | Continuous
 c25581_2_0                              | ukb_pheno_1_00 | 25581                                   | Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left)                                |        |    2 |   0 | Continuous
 c25582_2_0                              | ukb_pheno_1_00 | 25582                                   | Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right)                               |        |    2 |   0 | Continuous
 c25583_2_0                              | ukb_pheno_1_00 | 25583                                   | Weighted-mean L1 in tract inferior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25584_2_0                              | ukb_pheno_1_00 | 25584                                   | Weighted-mean L1 in tract inferior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25585_2_0                              | ukb_pheno_1_00 | 25585                                   | Weighted-mean L1 in tract middle cerebellar peduncle                                                 |        |    2 |   0 | Continuous
 c25586_2_0                              | ukb_pheno_1_00 | 25586                                   | Weighted-mean L1 in tract medial lemniscus (left)                                                    |        |    2 |   0 | Continuous
 c25587_2_0                              | ukb_pheno_1_00 | 25587                                   | Weighted-mean L1 in tract medial lemniscus (right)                                                   |        |    2 |   0 | Continuous
 c25588_2_0                              | ukb_pheno_1_00 | 25588                                   | Weighted-mean L1 in tract posterior thalamic radiation (left)                                        |        |    2 |   0 | Continuous
 c25589_2_0                              | ukb_pheno_1_00 | 25589                                   | Weighted-mean L1 in tract posterior thalamic radiation (right)                                       |        |    2 |   0 | Continuous
 c25590_2_0                              | ukb_pheno_1_00 | 25590                                   | Weighted-mean L1 in tract superior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25591_2_0                              | ukb_pheno_1_00 | 25591                                   | Weighted-mean L1 in tract superior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25592_2_0                              | ukb_pheno_1_00 | 25592                                   | Weighted-mean L1 in tract superior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25593_2_0                              | ukb_pheno_1_00 | 25593                                   | Weighted-mean L1 in tract superior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25594_2_0                              | ukb_pheno_1_00 | 25594                                   | Weighted-mean L1 in tract uncinate fasciculus (left)                                                 |        |    2 |   0 | Continuous
 c25595_2_0                              | ukb_pheno_1_00 | 25595                                   | Weighted-mean L1 in tract uncinate fasciculus (right)                                                |        |    2 |   0 | Continuous
 c25596_2_0                              | ukb_pheno_1_00 | 25596                                   | Weighted-mean L2 in tract acoustic radiation (left)                                                  |        |    2 |   0 | Continuous
 c25597_2_0                              | ukb_pheno_1_00 | 25597                                   | Weighted-mean L2 in tract acoustic radiation (right)                                                 |        |    2 |   0 | Continuous
 c25598_2_0                              | ukb_pheno_1_00 | 25598                                   | Weighted-mean L2 in tract anterior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25599_2_0                              | ukb_pheno_1_00 | 25599                                   | Weighted-mean L2 in tract anterior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25600_2_0                              | ukb_pheno_1_00 | 25600                                   | Weighted-mean L2 in tract cingulate gyrus part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25601_2_0                              | ukb_pheno_1_00 | 25601                                   | Weighted-mean L2 in tract cingulate gyrus part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25602_2_0                              | ukb_pheno_1_00 | 25602                                   | Weighted-mean L2 in tract parahippocampal part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25603_2_0                              | ukb_pheno_1_00 | 25603                                   | Weighted-mean L2 in tract parahippocampal part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25604_2_0                              | ukb_pheno_1_00 | 25604                                   | Weighted-mean L2 in tract corticospinal tract (left)                                                 |        |    2 |   0 | Continuous
 c25605_2_0                              | ukb_pheno_1_00 | 25605                                   | Weighted-mean L2 in tract corticospinal tract (right)                                                |        |    2 |   0 | Continuous
 c25606_2_0                              | ukb_pheno_1_00 | 25606                                   | Weighted-mean L2 in tract forceps major                                                              |        |    2 |   0 | Continuous
 c25607_2_0                              | ukb_pheno_1_00 | 25607                                   | Weighted-mean L2 in tract forceps minor                                                              |        |    2 |   0 | Continuous
 c25608_2_0                              | ukb_pheno_1_00 | 25608                                   | Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left)                                |        |    2 |   0 | Continuous
 c6312_2_3                               | ukb_pheno_2_00 | 6312                                    | Value entered                                                                                        |   6312 |    2 |   3 | Categorical (single)
 c25609_2_0                              | ukb_pheno_1_00 | 25609                                   | Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right)                               |        |    2 |   0 | Continuous
 c25610_2_0                              | ukb_pheno_1_00 | 25610                                   | Weighted-mean L2 in tract inferior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25611_2_0                              | ukb_pheno_1_00 | 25611                                   | Weighted-mean L2 in tract inferior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25612_2_0                              | ukb_pheno_1_00 | 25612                                   | Weighted-mean L2 in tract middle cerebellar peduncle                                                 |        |    2 |   0 | Continuous
 c25613_2_0                              | ukb_pheno_1_00 | 25613                                   | Weighted-mean L2 in tract medial lemniscus (left)                                                    |        |    2 |   0 | Continuous
 c25614_2_0                              | ukb_pheno_1_00 | 25614                                   | Weighted-mean L2 in tract medial lemniscus (right)                                                   |        |    2 |   0 | Continuous
 c25615_2_0                              | ukb_pheno_1_00 | 25615                                   | Weighted-mean L2 in tract posterior thalamic radiation (left)                                        |        |    2 |   0 | Continuous
 c25616_2_0                              | ukb_pheno_1_00 | 25616                                   | Weighted-mean L2 in tract posterior thalamic radiation (right)                                       |        |    2 |   0 | Continuous
 c25617_2_0                              | ukb_pheno_1_00 | 25617                                   | Weighted-mean L2 in tract superior longitudinal fasciculus (left)                                    |        |    2 |   0 | Continuous
 c25618_2_0                              | ukb_pheno_1_00 | 25618                                   | Weighted-mean L2 in tract superior longitudinal fasciculus (right)                                   |        |    2 |   0 | Continuous
 c25619_2_0                              | ukb_pheno_1_00 | 25619                                   | Weighted-mean L2 in tract superior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25620_2_0                              | ukb_pheno_1_00 | 25620                                   | Weighted-mean L2 in tract superior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25621_2_0                              | ukb_pheno_1_00 | 25621                                   | Weighted-mean L2 in tract uncinate fasciculus (left)                                                 |        |    2 |   0 | Continuous
 c25622_2_0                              | ukb_pheno_1_00 | 25622                                   | Weighted-mean L2 in tract uncinate fasciculus (right)                                                |        |    2 |   0 | Continuous
 c25623_2_0                              | ukb_pheno_1_00 | 25623                                   | Weighted-mean L3 in tract acoustic radiation (left)                                                  |        |    2 |   0 | Continuous
 c25624_2_0                              | ukb_pheno_1_00 | 25624                                   | Weighted-mean L3 in tract acoustic radiation (right)                                                 |        |    2 |   0 | Continuous
 c25625_2_0                              | ukb_pheno_1_00 | 25625                                   | Weighted-mean L3 in tract anterior thalamic radiation (left)                                         |        |    2 |   0 | Continuous
 c25626_2_0                              | ukb_pheno_1_00 | 25626                                   | Weighted-mean L3 in tract anterior thalamic radiation (right)                                        |        |    2 |   0 | Continuous
 c25627_2_0                              | ukb_pheno_1_00 | 25627                                   | Weighted-mean L3 in tract cingulate gyrus part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25628_2_0                              | ukb_pheno_1_00 | 25628                                   | Weighted-mean L3 in tract cingulate gyrus part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25629_2_0                              | ukb_pheno_1_00 | 25629                                   | Weighted-mean L3 in tract parahippocampal part of cingulum (left)                                    |        |    2 |   0 | Continuous
 c25630_2_0                              | ukb_pheno_1_00 | 25630                                   | Weighted-mean L3 in tract parahippocampal part of cingulum (right)                                   |        |    2 |   0 | Continuous
 c25631_2_0                              | ukb_pheno_1_00 | 25631                                   | Weighted-mean L3 in tract corticospinal tract (left)                                                 |        |    2 |   0 | Continuous
